sample,N.corrected,d15N.corrected,protein,adf,ndf,lignin
205,2.951926888,2.563901639,13.87,43.36,50.11,9.86
206,1.764485901,4.82246731,8.38,39.82,69.32,4.74
207,3.124950541,-0.403171181,15.84,38.59,41.27,10.14
208,1.744089643,3.848987793,8.39,31.86,60.46,2.24
209,3.4939654215,4.5572328195,17.16,35.95,44.18,7.04
21,1.805615209,1.437891122,10.19,27.56,61.38,0.2
210,1.972155754,6.522823543,10.13,38,69.65,2.01
211,3.164774232,1.776169558,14,42.08,50.56,10.41
212,1.960273355,3.734175977,10.01,38.14,66.9,4.71
213,3.04644537,-0.776388389,14.88,39.63,43.27,9.6
214,1.472372805,3.243603361,7.39,30.56,60.76,2.06
215,2.788601312,-0.803540888,6.89,37.3,70.93,2.43
216,2.813645961,-0.8192304564999999,14.25,39.12,47.54,8.21
217,1.83422339,5.053148206,8.69,37.42,69.3,2.42
218,3.872196647,23.55211692,22.08,27.37,31.23,5.47
219,1.58,3.992,8.07,29.66,60.35,1.08
220,1.246,5.536,5.26,41.63,74.04,5.1
221,1.920409444,3.894479105,9.59,29.81,57.54,2.58
222,3.307756282,3.639051961,16.49,35.91,41.62,7.56
223,2.687614765,1.798046395,12.68,40.08,48.5,9.93
224,1.465799278,3.841764166,6.78,40.73,71.65,3.95
225,3.071804619,-0.831024612,15.64,36.24,43.19,8.07
226,1.6667079155,3.979640629,9.39,29.4,58.09,2.02
227,1.429684647,4.9867622,6.44,40.4,70.15,3.76
228,2.768689466,-0.297299182,14.24,41.18,52.41,7.48
229,1.890378566,6.43837125,9.81,38.42,70.33,2.99
23,3.00687181,1.771227837,14.91,34.87,46.53,6.34
230,1.7031197185,5.4279169970000005,8.54,37.05,70.43,2.61
231,3.19950087,-0.585227804,16.07,36.3,43.24,7.91
232,1.747018461,2.891988632,10.17,26.81,54.74,1.2
233,1.525,2.656,7.17,36.67,66.54,3.34
234,3.580609969,7.99430473,17.21,36.68,40.77,9.48
235,1.970539855,5.483513908,9.63,38.21,69.94,3.13
236,2.724,-1.912,14.66,40.16,45.62,9.41
237,1.709198556,6.076207074,8.13,39.39,73.22,2.65
238,1.581967948,3.957921608,8.5,30.76,60.6,2.09
239,2.7158778065,2.9491636245,13.57,39.7,44.21,9.94
24,1.502087607,4.050301564,9.21,37.78,71.08,4.7
240,1.70016096,4.33347426,8.64,37.63,65.98,3.45
241,1.74284465,5.316301935,10.59,28.81,59.19,1.66
242,1.768,4.194,8.95,37.23,69.45,2.26
243,3.239,4.795,15.49,38.8,45.35,10.16
244,2.273,7,12.39,35.58,61.7,4.35
245,3.076,5.189,15.59,37.93,44.2,8.92
246,2.455,7.106,15.285,34.045,60,3.31
247,3.077,4.692,15.4,36.28,43.34,9.4
248,2.24,8.339,12.21,26.86,57.25,0.35
249,3.903,-0.415,21.73,34.49,44.3,6.85
25,3.291638041,-2.304904508,17.33,37.46,41.73,8.94
250,1.607,6.172,6.94,40.57,74.06,2.83
251,3.504,4.158,17.01,37,46.68,9.04
252,2.977,4.422,16.1,28.22,51.09,2.4
253,3.266,1.3,14.51,39.56,47.05,9.64
254,1.97,5.926,10.85,30.11,59.7,1.67
255,1.656,4.614,6.71,43.12,78.44,3.02
256,3.012,0.192,14.93,42,55.89,9.01
257,1.662,6.2465,7.06,44.33,77.72,3.63
258,3.089,3.801,15.57,38.38,46.51,8.93
259,1.934,8,10.62,29.5,60.68,1.39
26,1.765330782,2.180943068,10.84,25.55,57.9,0.97
260,1.369,7.504,6.23,38.05,68.8,3.2
261,1.116,4.625,10.47,26.91,59.18,1.59
262,3.159,3.986,16.05,34.79,41.03,8.5
263,3.23978663,2.012810259,17.69,35.5,40.82,8.59
264,2.324,6.042,13.75,35.3,60.82,3.77
265,2.904,3.322,14.2,39.03,45.28,9.73
266,2.147,5.557,12.33,29.3,58.05,1.22
267,1.963,8.989,9.73,42.45,74.51,5.16
268,3.078,-0.469,15.84,40.95,52.44,8.63
269,1.711,4.365,7.97,39.42,70.87,2.21
27,1.254148952,4.131460723,8.5,36.71,74.305,3.585
270,1.632,5.709,7.78,42.6,77.55,3.21
271,3.02,2.901,15.11,36.96,42.92,9.36
272,2.176,6.849,12.72,28.57,55.29,2.46
273,2.898,6.542,16.89,30.48,53.84,2.39
274,2.765,3.957,14.32,38.28,45.22,9.05
275,1.894,3.2184999999999997,9.7,38.66,68.36,1.55
276,2.2065,-0.6965,15.12,34.504999999999995,48.525,5.74
277,1.865,4.541,9.49,37.92,69.54,1.61
278,1.93,4.856,11.53,26.87,55.55,0.65
279,2.718,3.262,14.57,35.25,42.94,8.25
280,2.311,6.247,13.25,33.72,58.67,3.57
281,1.411,4.17,7.21,25.6,56.75,-2.08
282,2.744,6.573,11.705,38.175,68.42,3.615
283,3.103,5.209,11.32,39.45,58.004999999999995,3.7
284,2.313,6.878,10.98,33.595,63.455,3.2249999999999996
285,4.235,20.029,21.265,25.22,40.79,2.6100000000000003
286,2.261,7.168,10.26,34.22,63.655,2.835
287,3.0725,5.678749999999999,17.134999999999998,33.415,53.745,4.61
288,2.476,3.294,10.0225,27.84,61.0325,-0.8875
289,3.082,4.391,15.26,29.66,46.53,1.16
29,2.3827199285000003,3.4525748175,14.79,32.35,65.18,1.08
290,2.568,6.692,11.135,37.63,67.72,3.265
291,2.841,4.575,15.15,27.84,43.5,0.67
292,2.167,6.951,9.375,37.405,70.27000000000001,3.555
293,2.583,0.542,11.345,31.315,50.84,3.3049999999999997
294,1.482,2.124,7.1,28.98,56.96,0.3
295,2.366,5.688,13.08,35.92,65.55,1.14
296,2.258,-0.146,9.98,34.07,54.19,1.72
297,2.402,6.996,9.765,40.095,71.25,3.67
298,2.734,4.206,9.565,35.93,53.525,5.15
299,1.5605,4.4335,6.46,27.825000000000003,59.93,0.485
3,2.897130353,0.223275332,15.91,38.29,47.9,8.5
30,1.551119023,6.5349069,7.61,41.28,79.41,2.03
300,1.984,6.579,9.295,34.595,64.47,3.215
301,2.665,7.053,11.875,27.545,57.955,0.505
302,2.906,5.441,13.225,36.145,55.19,4.550000000000001
303,3.348,5.275,16.57,29.935,48.01,3.23
304,2.043,7.245,11.31,33.38,59.73,3.1
305,3.008,4.825,13.415,35.245000000000005,54.545,4.395
306,2.49,5.994,12.89,25.63,52.92,-0.3
307,1.872,7.546,8.54,36.055,66.38499999999999,3.405
308,2.733,3.717,13.35,28.23,44.27,0.66
309,2.62,6.727,10.19,39.945,72.21000000000001,4.195
31,2.8387702305,0.6721219635,13.43,42.7,52.88,11.7
310,2.486,6.843,10.45,38.120000000000005,72.24000000000001,3.88
311,2.584,-0.801,12.95,28.63,45.65,1.87
312,1.317,2.76,7.32,28.38,58.39,-0.48
313,1.772,7.393,8.715,34.455,64.86500000000001,3.355
314,2.5245,2.641,14.59,30.67,47.24,2
315,1.455,2.841,8.455,40.065,72.96000000000001,3.55
316,1.506,-4.236,9.55,35.8,53.57,3.1
317,1.499,2.969,9.43,36.959999999999994,69.42,2.465
318,0.894,1.03,5.99,26.71,55.55,-1.33
319,1.363,-0.722,7.125,34.81,53.095,3.685
320,0.893,4.265,6.88,35.55,64.23,2.68
33,1.048734806,3.726845103,7.22,37.96,76.57,4.1
34,2.836545967,4.119489806,13.21,44.46,56.79,9
35,1.815868243,4.3507447,8.72,40.59,77.84,2.51
38,1.571846569,2.929821621,8.35,29.43,65.66,1.04
4,0.85803351,6.183423992,3.11,38.84,81.54,5.12
40,0.779771193,3.843590377,6.26,37.75,74.05,3.64
401,1.566,-0.537,15.87,17.93,41.42,-0.09
402,1.028,1.267,8.33,36.96,68.06,0.55
403,1.944,-1.48,20.53,27.52,29.82,4.69
404,0.488,2.442,3.85,38.16,85.19,3.15
405,1.4985000000000002,3.076,23.72,26.89,27.53,4.47
406,0.516,2.822,5.89,36.29,73.84,0.3
407,2.216,-3.215,20.02,30.61,33.84,5.35
408,1.311,1.808,11.73,18.89,50.39,0.36
409,2.035,-5.813,18.54,30.46,34.925,5.04
41,1.853622407,5.135781029,7.03,27.43,64.26,-1.34
410,1.011,4.229,8.27,36.44,69.98,1.3
411,2.452,-1.89,21.87,27.44,29.12,5.78
412,0.458,1.318,3.31,39.05,77.4,2.15
413,1.931,-2.245,17.67,30.11,33.94,5.75
414,1.252,1.119,12.9,23.26,49.4,0.85
415,1.145,2.786,9.94,31.74,64.52,0.64
416,2.534,4.182,18.44,26.695,32.71,3.27
417,1.52,4,9.7,33.82,65.77,0.72
418,1.981,1.054,20.12,30.04,31.49,6.79
419,1.029,2.35,10.81,27.7,54.94,-0.12
42,1.713840518,4.06104859,8.74,38.92,72.71,1.75
420,0.446,3.215,2.91,39.4,76.63,2.41
421,1.317,1.304,12.73,21.25,46.11,0.77
422,2.187,-1.03,21.435,28.09,30.225,4.625
423,1.5559999999999998,5.943,23.54,25.81,27.5,5.41
424,0.522,1.503,3.57,41.27,77.49,2.68
425,2.08,-4.543,19.86,28.83,31.28,6.29
426,1.298,0.822,13.47,21.82,47.27,0.75
427,0.4155,3.502,3.36,43.41,76.47,3.21
428,1.976,-3.027,19.37,26.46,30.13,5.13
429,1.332,2.146,10.47,33.97,64.59,0.05
43,2.7632763665,3.8202676015,14.56,33.74,45.96,7.99
430,1.106,2.0285,8.864999999999998,33.335,66.87,0.75
431,2.2115,-3.573,20.01,30.38,31.89,6.43
432,1.23,1.495,11.79,22,48.77,0.99
433,0.564,1.499,4.75,40.33,75.5,2.27
434,1.876,-2.071,18.62,30.2,34.25,4.89
435,1.118,3.588,8.12,36.12,66.67,0.08
436,1.77,-5.007,16.66,30.5,34.86,5.62
437,1.1355,2.645,9.56,33.46,66.06,-0.27
438,1.412,1.058,14.85,18.19,44.31,-0.49
439,2.626,-0.281,23.03,27.18,29.3,5.97
44,1.1093155760000002,5.0927555625,7.06,43.54,81.37,5.9
440,0.4485,2.391,3,44.07,81.9,3.32
441,1.093,3.033,9.85,27.01,59.6,0.11
442,0.907,4.244,6.79,34.91,70.01,-1.25
443,1.758,1.55,16.62,32.11,37.11,5.55
444,0.385,3.976,6.13,43.84,82.31,6.14
445,1.938,1.529,18.5,30.86,37.74,4.85
446,0.608,4.68,4.33,44.6,80.82,7.01
447,1.813,4.134,16.88,30.35,36.24,6.69
448,1.021,6.781,7.29,26.59,59.8,-0.45
45,3.109552216,5.455038127,18.07,34.83,43.13,7.71
450,0.816,2.625,6.6,37.29,71.82,0.92
451,1.843,-0.976,16.34,35.17,44.46,6.1
452,0.793,2.568,6.52,48.41,70.44,7.93
454,0.73,3.471,3.61,26.27,61.06,-1.24
455,0.884,4.119,7.41,36.37,74,-0.78
456,1.757,-5.54,16.9,32.39,37.97,6.14
457,0.911,3.836,6.39,36.9,71.42,-0.52
458,1.906,0.171,18.08,30.55,37.54,5.26
459,1.011,3.398,9.39,25.47,54.23,0.37
46,1.189144967,4.966074869,7.71,39.9,75.26,6.19
460,0.417,5.701,4.635,43.685,83.38,2.19
461,1.232,-3.89,10.89,19.59,49.57,-1.2
462,1.689,1.383,15.64,31.59,37.61,6.56
463,1.625,-2.61,14.71,31.94,39.58,6.92
464,0.613,4.302,7.24,44.26,77.91,3.83
465,1.571,-4.162,14.57,34.53,38.56,7.13
466,1.082,4.177,9.44,24.15,52.25,-0.67
467,1.106,6.589,5.05,44.9,80.92,6.28
468,2.614,-1.957,17.22,28.94,34.55,4.41
469,1.447,4.869,4.13,36.29,72.51,-2.37
47,2.585384594,4.588117258,14.48,33.58,41.37,7.53
470,1.135,4.162,3.69,38.9,73.11,-0.74
471,2.463,1.211,13.4,37.92,39.89,9.05
472,1.341,5.036,6,26.54,59.79,-1.51
473,0.341,0.751,7.9,42.93,78.61,4.9
474,2.648,2.593,14.84,31.34,37.65,6.31
475,1.344,2.211,5.08,35.32,69.94,-2.73
476,2.713,-1.692,16.78,28.79,34.59,5
477,1.278,3.18,4.13,38.24,73.76,-1.27
478,1.338,3.905,4.7,25.38,63,-1.54
479,2.931,5.612,16.255,32.585,37.87,6.279999999999999
48,1.966,6.795,8.1,26.82,65.45,-3.06
480,1.176,5.417,6.72,43.07,78.83,6.11
481,3.243,3.852,16.665,25.215000000000003,52.945,0.30000000000000004
483,4.238,7.486,14.49,32.9,42.84,-2.33
484,1.924,5.454,10.57,32.82,64.91,1
485,4.473,24.571,22.18,26.5,37.59,1.38
486,1.655,5.701,8.9,37.98,66.99,3.3
487,1.597,5.683,17.5,25.14,37.81,2.21
489,4.347,15.358,21.63,23.69,35.03,2.76
49,2.52189027,4.691873076,13.78,34.18,47.4,7.51
490,3.179,4.381,17.17,33.35,61.76,0.84
491,3.94,4.426,19.82,25.96,38.11,1.44
492,1.464,5.398,8.27,36.64,67.08,3.23
493,3.704,0.308,15.2,26.76,40.56,0.25
494,2.495,2.848,11.43,19.15,46.32,-0.75
495,3.11,4.658,15.31,33.00666666666667,64.31666666666666,1.643333333333333
496,3.106,-0.341,8.075,28.83,38.33,-2.375
