sample,location,treatment,species,timepoint,block
624R,Rubona,Desmodium + maize,Maize,4,3
625R,Rubona,Desmodium + Brachiaria,Desmodium,4,3
626R,Rubona,Desmodium + Brachiaria,Brachiaria,4,3
627R,Rubona,Maize monocrop,Maize,4,3
628R,Rubona,Napier + Desmodium,Desmodium,4,3
629R,Rubona,Napier + Desmodium,Napier,4,3
630R,Rubona,Napier,Napier,4,3
631R,Rubona,Desmodium + Brachiaria,Desmodium,4,4
632R,Rubona,Desmodium + Brachiaria,Brachiaria,4,4
633R,Rubona,Maize monocrop,Maize,4,4
634R,Rubona,Desmodium,Desmodium,4,4
635R,Rubona,Napier,Napier,4,4
636R,Rubona,Napier + Desmodium,Desmodium,4,4
637R,Rubona,Napier + Desmodium,Napier,4,4
638R,Rubona,Brachiaria v. Mulato II ,Brachiaria,4,4
639R,Rubona,Desmodium + maize,Desmodium,4,4
640R,Rubona,Desmodium + maize,Maize,4,4
641R,Karama,Brachiaria cv. Mulato II ,Brachiaria,4,1
642R,Karama,Napier ,Napier,4,1
643R,Karama,Desmodium ,Desmodium,4,1
644R,Karama,Maize monocrop ,Maize,4,1
645R,Karama,Desmodium + maize,Desmodium,4,1
646R,Karama,Desmodium + maize,Maize,4,1
647R,Karama,Desmodium + Brachiaria ,Desmodium,4,1
648R,Karama,Desmodium + Brachiaria ,Brachiaria,4,1
649R,Karama,,,,1
650R,Karama,Napier + Desmodium,Napier,4,1
651R,Karama,Desmodium + maize,Desmodium,4,2
652R,Karama,Desmodium + maize,Maize,4,2
653R,Karama,Desmodium + Brachiaria ,Desmodium,4,2
654R,Karama,Desmodium + Brachiaria ,Brachiaria,4,2
655R,Karama,Napier,Napier,4,2
656R,Karama,Napier + Desmodium,Desmodium,4,2
657R,Karama,Napier + Desmodium,Napier,4,2
658R,Karama,Desmodium,Desmodium,4,2
659R,Karama,Brachiaria cv. Mulato II ,Brachiaria,4,2
660R,Karama,Maize,Maize,4,2
661R,Karama,Brachiaria cv. Mulato II ,Brachiaria,4,3
662R,Karama,Desmodium,Desmodium,4,3
663R,Karama,Desmodium + maize,Desmodium,4,3
664R,Karama,Desmodium + maize,Maize,4,3
665R,Karama,Desmodium + Brachiaria,Desmodium,4,3
666R,Karama,Desmodium + Brachiaria,Brachiaria,4,3
667R,Karama,Maize monocrop,Maize,4,3
668R,Karama,Napier + Desmodium,Desmodium,4,3
669R,Karama,Napier + Desmodium,Napier,4,3
670R,Karama,Napier,Napier,4,3
671R,Karama,Desmodium + Brachiaria,Desmodium,4,4
672R,Karama,Desmodium + Brachiaria,Brachiaria,4,4
673R,Karama,Maize monocrop,Maize,4,4
674R,Karama,Desmodium,Desmodium,4,4
675R,Karama,Napier,Napier,4,4
676R,Karama,Napier + Desmodium,Desmodium,4,4
677R,Karama,Napier + Desmodium,Napier,4,4
678R,Karama,Brachiaria v. Mulato II ,Brachiaria,4,4
679R,Karama,Desmodium + maize,Desmodium,4,4
680R,Karama,Desmodium + maize,Maize,4,4
,,,,,
