sample,gwc,moist_soil,truesoil,location,rep,plot,treatment,timepoint,pH
334,0.08991009,10.04,9.137302697,Karama,1,6,Desmodium + Brachiaria ,3,5.57
335,0.166495375,9.98,8.318376156,Karama,1,7,Desmodium + Napier,3,6.15
336,0.177435897,9.99,8.217415385,Karama,2,8,Desmodium + maize ,3,5.99
337,0.184599156,9.99,8.14585443,Karama,2,9,Desmodium + Brachiaria ,3,5.93
338,0.162618796,9.99,8.365438226,Karama,2,10,Napier grass,3,5.81
339,0.173913043,10.02,8.277391304,Karama,2,11,Desmodium + Napier,3,5.73
340,0.203333333,9.98,7.950733333,Karama,2,12,Desmodium,3,5.6
341,0.159672467,10.01,8.411678608,Karama,2,13,Brachiaria cv. Mulato II ,3,5.87
342,0.156122449,10.03,8.464091837,Karama,2,14,Maize monocrop,3,6.29
343,0.165289256,9.97,8.322066116,Karama,3,15,Brachiaria cv. Mulato II ,3,6
344,0.189485214,10.01,8.113253012,Karama,3,16,Desmodium,3,5.52
345,0.173684211,9.96,8.230105263,Karama,3,17,Desmodium + maize ,3,5.78
346,0.185185185,10.03,8.172592593,Karama,3,18,Desmodium + Brachiaria ,3,5.83
347,0.182006205,10.03,8.204477766,Karama,3,19,Maize monocrop,3,6.07
348,0.204356846,9.96,7.924605809,Karama,3,20,Desmodium + Napier,3,6.02
349,0.207329843,9.97,7.902921466,Karama,3,21,Napier grass,3,5.85
350,0.165970772,9.99,8.331951983,Karama,4,22,Desmodium + Brachiaria ,3,5.7
351,0.178534572,10,8.214654283,Karama,4,23,Maize monocrop,3,5.74
352,0.175604627,10.02,8.26044164,Karama,4,24,Desmodium,3,5.88
353,0.180061038,10,8.199389624,Karama,4,25,Napier grass,3,5.75
354,0.182410423,10.03,8.200423453,Karama,4,26,Desmodium + Napier,3,5.62
355,0.176842105,10.01,8.239810526,Karama,4,27,Brachiaria cv. Mulato II ,3,6.23
356,0.159798995,9.97,8.37680402,Karama,4,28,Desmodium + maize ,3,6.22
357,0.282282282,10.04,7.205885886,Burera,1,1,Brachiaria cv. Mulato II ,3,4.76
358,0.292740047,9.98,7.058454333,Burera,1,2,Napier grass,3,4.61
359,0.260321101,9.99,7.389392202,Burera,1,3,Desmodium ,3,4.72
360,0.285714286,10.05,7.178571429,Burera,1,4,Maize monocrop ,3,4.58
361,0.315049226,10.02,6.863206751,Burera,1,5,Desmodium + maize ,3,4.4
362,0.284908322,9.97,7.129464034,Burera,1,6,Desmodium + Brachiaria ,3,4.51
363,0.281666667,10.04,7.212066667,Burera,1,7,Desmodium + Napier,3,4.52
364,0.279792746,10.01,7.209274611,Burera,2,8,Desmodium + maize ,3,4.86
365,0.27283237,10.01,7.278947977,Burera,2,9,Desmodium + Brachiaria ,3,4.83
366,0.253196931,10.02,7.482966752,Burera,2,10,Napier grass,3,4.63
367,0.289405685,10.03,7.127260982,Burera,2,11,Desmodium + Napier,3,4.67
368,0.266119578,9.97,7.316787808,Burera,2,12,Desmodium,3,4.38
369,0.276595745,9.97,7.212340426,Burera,2,13,Brachiaria cv. Mulato II ,3,4.98
370,0.248863636,9.98,7.496340909,Burera,2,14,Maize monocrop,3,4.77
371,0.291139241,10.04,7.116962025,Burera,3,15,Brachiaria cv. Mulato II ,3,4.43
372,0.290085679,10.02,7.113341493,Burera,3,16,Desmodium,3,4.39
373,0.318996416,10.01,6.816845878,Burera,3,17,Desmodium + maize ,3,4.5
374,0.302994012,10.05,7.00491018,Burera,3,18,Desmodium + Brachiaria ,3,4.33
375,0.276218612,10,7.237813885,Burera,3,19,Maize monocrop,3,4.46
376,0.323566879,9.99,6.757566879,Burera,3,20,Desmodium + Napier,3,4.45
